1代 码 名 称 大小 评价 人气 上载时间 
[随书类]vc++6实践与提高[visualc]  117Mb ★★★★★ 180 2005-3-23 
[随书类] w2k开发人员指南代码[visualc]  1.6Mb ★★★★ 41 2005-3-23 
[多媒体] mp3解码(vc)源代码[visualc]  79Kb ★★★★★ 59 2005-3-23 
[多媒体] 微软组件：过滤器[visualc]  77Kb ★★★ 282 2005-1-26 
[多媒体] 将AVI转换为MPEG文件[visualc]  38Kb ★★★ 366 2005-1-26 
[多媒体] 背景实时显示[visualc]  809Kb ★★★ 318 2005-1-26 
[图形图象] 小波分析的讲座[visualc]  1Mb ★★★ 162 2005-1-23 
[图形图象] 图象读取,特效,显示封装库FLib1.1及DEMO源代码[visualc]  2Mb ★★★ 125 2005-1-23 
[图形图象] 数字图像处理讲义和代码[visualc]  673Kb ★★★ 223 2005-1-23 
[图形图象] 数字图像处理程序集[visualc]  247Kb ★★★ 246 2005-1-23 
[图形图象] 数据压缩技术概论[visualc]  169Kb ★★★ 108 2005-1-23 
[图形图象] 封装ijl库的jpeg读取显示类源代码和例程[visualc]  355Kb ★★★ 99 2005-1-23 
[图形图象] vchome图像处理文章合集[visualc]  549Kb ★★★ 141 2005-1-23 
[图形图象] VC++数字图象获取,处理及实践应用[visualc]  327Kb ★★★ 368 2005-1-23 
[图形图象] MPEG4解码源代码[visualc]  314Kb ★★★ 222 2005-1-23 
[图形图象] Gif文件格式说明和解码器[visualc]  86Kb ★★★ 161 2005-1-23 
[打印类] 信封打印[visualc]  47Kb ★★★ 243 2005-1-17 
[打印类] 图片样例[visualc]  62Kb ★★★ 117 2005-1-17 
[打印类] 条形码[visualc]  35Kb ★★★ 160 2005-1-17 
[打印类] 打印简历[visualc]  3Mb ★★★ 165 2005-1-17 
2代 码 名 称 大小 评价 人气 上载时间 
[打印类] 打印发票[visualc]  43Kb ★★★ 217 2005-1-17 
[打印类] 打印表格[visualc]  63Kb ★★★ 183 2005-1-17 
[网络类] 邮件代理[visualc]  61Kb ★★★ 86 2005-1-17 
[网络类] 我的浏览器2.0[visualc]  42Kb ★★★ 164 2005-1-17 
[网络类] 我的浏览器1.0[visualc]  29Kb ★★★ 51 2005-1-17 
[网络类] 聊天服务器和客户端[visualc]  106Kb ★★★ 243 2005-1-17 
[网络类] FTP结构精灵[visualc]  34Kb ★★★ 94 2005-1-17 
[界面类] 通用对话框[visualc]  134Kb ★★★ 135 2005-1-17 
[界面类] 数字编辑[visualc]  282Kb ★★★ 70 2005-1-17 
[界面类] 目录树示例[visualc]  47Kb ★★★ 124 2005-1-17 
[界面类] 列表框和编辑框[visualc]  46Kb ★★★ 103 2005-1-17 
[界面类] 按钮示例[visualc]  169Kb ★★★ 113 2005-1-17 
[界面类] Icon菜单[visualc]  5Kb ★★★ 149 2005-1-17 
[数据库] 员工培训系统[visualc]  204Kb ★★★ 224 2005-1-17 
[数据库] 物资管理系统[visualc]  107Kb ★★★ 270 2005-1-17 
[数据库] 人事管理系统[visualc]  156Kb ★★★ 529 2005-1-17 
[数据库] 贸易公司管理系统[visualc]  143Kb ★★★ 169 2005-1-17 
[数据库] 考勤管理系统[visualc]  244Kb ★★★ 206 2005-1-17 
[数据库] 酒店业务管理系统[visualc]  275Kb ★★★ 199 2005-1-17 
[数据库] 工资管理系统[visualc]  231Kb ★★★ 247 2005-1-17 
3代 码 名 称 大小 评价 人气 上载时间 
[数据库] 仓库管理系统[visualc]  212Kb ★★★ 245 2005-1-17 
[数据库] 宾馆管理系统[visualc]  165Kb ★★★ 183 2005-1-17 
[控件类] MFCActiveX自动化控制器[visualc]  137Kb ★★★ 52 2005-1-17 
[控件类] MFCActiveX自动化服务器[visualc]  88Kb ★★★ 30 2005-1-17 
[控件类] MFCActiveX控件[visualc]  156Kb ★★★ 30 2005-1-17 
[控件类] ActiveX自动化控制器[visualc]  205Kb ★★★ 31 2005-1-17 
[控件类] ActiveX自动化服务器[visualc]  51Kb ★★★ 26 2005-1-17 
[控件类] ActiveX文档容器[visualc]  202Kb ★★★ 27 2005-1-17 
